Service,Region,Province,Source,Hospital,Type,Delivered,Postponed,Delivered in 2019,Rate change,Notes
Chemoterapies,Lombardy,Cremona,Ats Valpadana,Ospedale Maggiore di Crema,Totale,922,:,1191,-22.58606213,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure also includes the 922 services performed in 2020 and 1189 performed in 2019"
Chemoterapies,Lombardy,Mantova,Ats Valpadana,Ospedale Carlo Poma di Mantova,Totale,1306,:,1311,-0.3813882532,"The comparison is not on the postponements, but on the performance of the same period in 2019. The data also includes the 1,302 services performed in 2020 and the 1,302 services performed in 2019 an anti-clinic of the Mantua hospital"
Chemoterapies,Lombardy,Cremona,Ats Valpadana,Ospedale di Cremona,Totale,1284,:,1339,-4.107542942,"The comparison is not on the postponements, but on the performance of the same period of 2019. The data also includes the 1,238 services performed in 2020 and 1,285 performed in 2019 at the clinic of the Cremona hospital"
Chemoterapies,Lombardy,Mantova,Ats Valpadana,Ospedale Oglio Po,Totale,201,:,350,-42.57142857,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lombardy,Mantova,Ats Valpadana,Poliambulatorio ospedale di Borgo Mantovano,Totale,21,:,87,-75.86206897,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lombardy,Mantova,Ats Valpadana,Poliambulatorio ospedale di Asola,Totale,0,:,11,-100.0,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Campania,Salerno,Asl Salerno,"Ospedale ""Dell'Immacolata"" di Sapri",Totale,3,:,8,-62.5,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Campania,Salerno,Asl Salerno,"Ospedale ""San Luca"" di Vallo della Lucania",Totale,8,:,15,-46.66666667,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Campania,Salerno,Asl Salerno,"Ospedale ""Umberto I"" di Nocera Inferiore",Totale,83,:,104,-20.19230769,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lazio,Latina,Asl Latina,Oncologia Distretto (parte nord ASL ),Totale,549,:,782,-29.79539642,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lazio,Latina,Asl Latina,Ospedale Santa Maria Goretti di Latina,Totale,1732,:,2774,-37.5630858,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lazio,Latina,Asl Latina,Ospedale Fiorini di Terracina,Totale,1129,:,1245,-9.317269076,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Chemoterapies,Lombardy,Brescia,Asst del Garda,Asst del Garda,Totale,1046,:,1251,-16.38689049,"The comparison is not on the referrals, but on the performance of the same period of 2019"
