Service,Region,Province,Source,Hospital,Type,Delivered,Postponed,Delivered in 2019,Rate change,Notes
Medical exams,Emilia Romagna,Bologna,Policlinico di Sant'Orsola,Policlinico di Sant'Orsola,Total,13000,:,30500,-57.37704918,"The comparison is not on the postponements, but on the performance of the same period of 2019. 31% of the postponements took place by the patient's initiative."
Medical exams,Tuscany,Firenze,AOU Careggi,AOU Careggi,Total,30756,:,66560,-53.79206731,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Roma,Asl Roma 6,Asl Roma 6,Total,15318,:,61465,-75.07849996,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Friuli Venezia Giulia,Pordenone,As Friuli Occidentale,As Friuli Occidentale,Total,21975,:,50861,-56.7940072,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Cremona,Ats Valpadana,Centro psicosociale,Total,0,:,15,-100.0,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Cremona,Ats Valpadana,Ospedale Maggiore di Crema,Total,6927,:,34689,-80.03113379,"The comparison is not on the postponements, but on the performance of the same period of 2019. The data includes 3,897 exams performed in 2020 and 26.235 exams performed in 2019 at the clinic of cream"
Medical exams,Lombardy,Cremona,Ats Valpadana,Poliambulatorio di Rivolta d'Adda,Total,83,:,3757,-97.79079052,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Cremona,Ats Valpadana,Ospedale di Cremona,Total,5419,:,12180,-55.5090312,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure also includes 1,985 visits performed in 2020 and 24,067 visits performed in 2019 at the hospital clinic, as well as 8 visits performed in 2020 and 82 visits performed in 2019 in infant neuropsychiatry of the hospital"
Medical exams,Lombardy,Cremona,Ats Valpadana,Ospedale Oglio Po,Total,5288,:,39866,-86.73556414,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure includes 832 exams performed in 2020 and 10,244 exams performed in 2019 at the clinic of the Oglio Po hospital"
Medical exams,Lombardy,Mantova,Ats Valpadana,Ospedale civile Destra Secchia di Pieve di Coriano,Total,4396,:,11661,-62.30168939,"The comparison is not on the postponements, but on the performance of the same period of 2019. The data includes 2,446 exams performed in 2020 and 7,800 exams performed in 2019 at the clinic"
Medical exams,Lombardy,Mantova,Ats Valpadana,Ospedale Carlo Poma di Mantova,Total,14281,:,38759,-63.15436415,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure includes the 52 exams performed in 2020 and 234 executed in 2019 at the Uoonpa of the Mantua hospital"
Medical exams,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Goito,Total,34,:,498,-93.17269076,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Mantova,Total,33,:,435,-92.4137931,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Mantova,Ats Valpadana,Poliambulatorio ospedale di Asola,Total,1730,:,6899,-74.92390201,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Quistello,Total,41,:,99,-58.58585859,"The comparison is not on the referrals, but on the performance of the same period of 2019"
