Service,Region,Province,Source,Hospital,Type,Delivered,Postponed,Delivered in 2019,Rate change,Notes
Outpatient visits,Emilia Romagna,Bologna,Policlinico di Sant'Orsola,Policlinico di Sant'Orsola,Total,29100,:,68500,-57.51824818,"The comparison is not on the postponements, but on the performance of the same period of 2019. 48% of the postponements took place by the patient's initiative."
Outpatient visits,Tuscany,Firenze,AOU Careggi,AOU Careggi,Total,52077,:,131074,-60.26900835,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Roma,Asl Roma 6,Asl Roma 6,Total,12660,:,45328,-72.07024356,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Friuli Venezia Giulia,Pordenone,As Friuli Occidentale,As Friuli Occidentale,Total,17051,:,37646,-54.70700738,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,C.A.L. Rivolta d'Adda,Total,49,:,52,-5.769230769,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,Centro psicosociale,Total,17,:,133,-87.21804511,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,Ospedale Maggiore di Crema,Total,8267,:,36580,-77.4002187,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure includes 4,443 visits performed in 2020 and 23,278 visits performed in 2019 at the clinic of cream"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,Poliambulatorio di Rivolta d'Adda,Total,268,:,3042,-91.19000657,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,C.A.L. Soresina,Total,57,:,52,9.615384615,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,CPS Casalmaggiore,Total,13,:,44,-70.45454545,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,CPS Cremona,Total,39,:,123,-68.29268293,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,Ospedale di Cremona,Total,13745,:,49403,-72.17780297,"The comparison is not on the postponements, but on the performance of the same period in 2019. The figure includes 9,799 visits performed in 2020 and 38,672 visits performed in 2019 at the hospital clinic, as well as 0 visits performed in 2020 and 47 visits performed in 2019 at Uop 29 of Cremona"
Outpatient visits,Lombardy,Cremona,Ats Valpadana,Ospedale di Oglio Po,Total,5196,:,15341,-66.12997849,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure includes 3,484 visits performed in 2020 and 10,206 visits performed in 2019 at the clinic, in addition to 85 visits performed in 2020 and at 101 visits performed in 2019 at the Cal dell ' Hospital"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Ambulatorio di psichiatria di Ostiglia,Total,14,:,0,0.0,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,C.A.L. Asola,Total,5,:,33,-84.84848485,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,CPS Psichiatria Mantova,Total,93,:,167,-44.31137725,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,CPS Psichiatria Viadana,Total,5,:,14,-64.28571429,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Ospedale civile Destra Secchia di Pieve di Coriano,Total,4827,:,14123,-65.82170927,"The comparison is not on the postponements, but on the performance of the same period of 2019. The data includes 2,748 visits performed in 2020 and 7,703 visits performed in 2019 at the clinic"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Ospedale Carlo Poma di Mantova,Total,21545,:,45516,-52.66499692,"The comparison is not on the postponements, but on the performance of the same period of 2019. The figure includes 16,173 visits performed in 2020 and 35,433 visits performed in 2019 at the Mantua hospital clinic"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Goito,Total,210,:,1914,-89.02821317,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Mantova,Total,608,:,2477,-75.45417844,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Poliambulatorio ospedale di Asola,Total,2277,:,6301,-63.86287891,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Quistello,Total,120,:,843,-85.76512456,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Viadana,Total,83,:,1307,-93.64957919,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Ospedale di Asola,Total,1185,:,5069,-76.62260801,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Mantova,Ats Valpadana,Polo Sanitario Nuovo Robbiani,Total,204,:,1965,-89.61832061,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Roma,Ospedale Sant'Andrea,Ospedale Sant'Andrea,Total,9596,:,29685,-67.67390938,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Veneto,Vicenza,Azienda ULSS 8 Berica,Azienda ULSS 8 Berica,Total,29746,:,63018,-52.79761338,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Tuscany,Firenze,AOU Meyer,Azienda ospedaliero universitaria Meyer,Total,4504,:,16170,-72.14594929,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Bergamo,Ats Bergamo,Ats Bergamo,Total,158498,:,603224,-73.7248518,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Consultori,Total,1511,:,2458,-38.52725793,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Centri TSRMEE,Total,3194,:,2036,56.8762279,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale San Giovanni di Dio di Fondi,Total,398,:,2160,-81.57407407,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Dono Svizzero di Formia,Total,1211,:,3279,-63.06800854,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Santa Maria Goretti di Latina,Total,7321,:,19707,-62.85076369,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Fiorini di Terracina,Total,1937,:,4952,-60.88449111,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Aprilia,Total,1253,:,2702,-53.62694301,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Cisterna,Total,355,:,1344,-73.58630952,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Cori,Total,46,:,172,-73.25581395,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Fondi,Total,113,:,514,-78.0155642,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Gaeta,Total,899,:,3711,-75.77472379,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Latina,Total,1197,:,3956,-69.7421638,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Minturno,Total,63,:,668,-90.56886228,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Norma,Total,0,:,21,-100.0,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Pontinia,Total,39,:,192,-79.6875,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Ponza,Total,30,:,156,-80.76923077,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Priverno,Total,400,:,1043,-61.64908917,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Sabaudia,Total,47,:,36,30.55555556,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Sezze,Total,202,:,1195,-83.09623431,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Terracina,Total,252,:,955,-73.61256545,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Ventotene,Total,8,:,17,-52.94117647,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Lombardy,Brescia,Asst del Garda,Asst del Garda,Total,12433,:,33741,-63.15165526,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Corigliano,Total,258,:,1244,-79.26045016,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Rossano,Total,1278,:,3423,-62.66432954,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Cetraro,Total,346,:,3415,-89.8682284,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Castrovillari,Total,981,:,3550,-72.36619718,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Paola,Total,998,:,2617,-61.86473061,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Outpatient visits,Calabria,Cosenza,Asp Cosenza,Ospedale di Praia a Mare,Total,298,:,1199,-75.14595496,"The comparison is not on the referrals, but on the performance of the same period of 2019"
